Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Long-term potentiation	19/67	1.499929e-07	2.223425e-06	0	0	5.152792e+00	8.096417e+01	GRIA1;GRIA2;MAP2K1;CAMK2D;PRKCB;CAMK2A;ITPR2;PRKCA;ADCY8;GRIN2B;GRM1;PPP3CA;GRM5;GRIN2A;PLCB4;RPS6KA2;GNAQ;PLCB1;CAMK2G
KEGG_2019_Human	Phospholipase D signaling pathway	30/148	1.994386e-07	2.645186e-06	0	0	3.322743e+00	5.126247e+01	DGKG;DGKD;DGKB;LPAR1;ADCY2;PLD1;ADCY8;GRM1;EGFR;GRM3;GRM5;GRM7;PDGFD;PDGFC;GRM8;PTK2B;PIP5K1B;PDGFRA;MAP2K1;SYK;GAB1;PRKCA;DNM3;PLCB4;LPAR6;KIT;GNAS;PLCB1;DGKI;DGKH
KEGG_2019_Human	Retrograde endocannabinoid signaling	30/148	1.994386e-07	2.645186e-06	0	0	3.322743e+00	5.126247e+01	GRIA1;GABRB3;GRIA2;GABRB2;GABRB1;CACNA1B;ITPR2;CACNA1D;ADCY2;ADCY8;GRM1;GRM5;GNG2;GNG4;CNR1;SLC17A7;GRIA3;GRIA4;KCNJ3;PRKCB;GABRA5;PRKCA;GABRG3;GNAO1;MAPK10;PLCB4;GNAQ;GNB4;NAPEPLD;PLCB1
KEGG_2019_Human	GABAergic synapse	22/89	2.335407e-07	2.942613e-06	0	0	4.279070e+00	6.534101e+01	GABRB3;GABRB2;GABBR2;GABRB1;PRKCB;GABRA5;PLCL1;GAD1;CACNA1B;GAD2;PRKCA;ADCY2;CACNA1D;SLC6A1;ADCY8;GABRG3;GLS;GNAO1;GNG2;GNG4;GNB4;GLUL
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	24/106	3.915779e-07	4.698935e-06	0	0	3.816445e+00	5.630432e+01	MEF2A;MAP2K1;MEF2C;PRKCB;PDE4D;ITPR2;PRKCA;ADCY2;PLD1;ADCY8;RUNX2;EGFR;PTHLH;NR4A2;AKAP13;PLCB4;MMP16;GNAQ;GNAS;BCL2;PDE4B;PLCB1;FGFR1;CREB5
KEGG_2019_Human	Oxytocin signaling pathway	30/153	4.246979e-07	4.864721e-06	0	0	3.186807e+00	4.675648e+01	RYR1;RYR2;CAMK2D;ROCK2;CAMK2A;ITPR2;PRKAG2;CACNA1D;ADCY2;ADCY8;RYR3;EGFR;MYLK;PPP3CA;CAMK2G;KCNJ3;GUCY1A2;MAP2K1;MEF2C;CAMK1D;PRKCB;CACNA2D1;CACNA2D3;PRKCA;GNAO1;CACNB2;PLCB4;GNAQ;GNAS;PLCB1
KEGG_2019_Human	Gastric acid secretion	19/75	1.022725e-06	1.120550e-05	0	0	4.414770e+00	6.089311e+01	CHRM3;CAMK2D;PRKCB;CAMK2A;ITPR2;PRKCA;ATP1A2;ADCY2;ATP1B1;ADCY8;MYLK;PLCB4;CA2;SST;GNAQ;GNAS;PLCB1;CAMK2G;KCNK2
KEGG_2019_Human	cGMP-PKG signaling pathway	30/166	2.537459e-06	2.664332e-05	0	0	2.880154e+00	3.710890e+01	ROCK2;PDE3B;ITPR2;CACNA1D;ATP1A2;ADCY2;ADRA1B;ADCY8;ADRA1A;SLC8A1;MYLK;PPP3CA;KCNMB2;KCNMB4;PRKG2;PRKG1;MEF2A;GUCY1A2;MAP2K1;MEF2C;TRPC6;ATP2B4;ATP2B1;ATP1B1;PLCB4;GNAQ;KCNMA1;PDE3A;PLCB1;CREB5
KEGG_2019_Human	Cell adhesion molecules (CAMs)	27/145	4.430977e-06	4.422926e-05	0	0	2.984124e+00	3.678497e+01	CNTNAP2;NLGN1;NRXN1;NRXN3;PTPRM;ALCAM;CDH2;ITGB8;NRCAM;NCAM1;NCAM2;LRRC4C;JAM2;NTNG1;NLGN4Y;NTNG2;NLGN4X;CADM1;NEGR1;HLA-B;HLA-E;IGSF11;CLDN11;VCAN;PTPRC;ITGA8;ITGA9
KEGG_2019_Human	Amphetamine addiction	17/68	4.563336e-06	4.422926e-05	0	0	4.332397e+00	5.327746e+01	GRIA1;GRIA2;CAMK2D;PRKCB;CAMK2A;PRKCA;CACNA1D;GRIN2B;PPP3CA;GRIN2A;GRIN3A;GNAS;CAMK2G;STX1A;GRIA3;CREB5;GRIA4
KEGG_2019_Human	Serotonergic synapse	23/113	4.765560e-06	4.447856e-05	0	0	3.328530e+00	4.078812e+01	GABRB3;GABRB2;MAP2K1;GABRB1;KCND2;PRKCB;HTR1F;CACNA1B;ITPR2;HTR2C;PRKCA;CACNA1D;HTR2A;GNAO1;PLCB4;GNG2;GNG4;GNAQ;GNAS;GNB4;KCNN2;PLCB1;KCNJ3
KEGG_2019_Human	Aldosterone synthesis and secretion	21/98	5.223405e-06	4.701064e-05	0	0	3.549680e+00	4.317249e+01	CAMK2D;CAMK1D;PRKCB;CAMK2A;ATP2B4;ITPR2;PRKCA;CACNA1D;ATP1A2;ADCY2;ATP2B1;ATP1B1;ADCY8;NR4A2;PLCB4;GNAQ;GNAS;PRKD1;PLCB1;CAMK2G;CREB5
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	26/145	1.338054e-05	1.162723e-04	0	0	2.847284e+00	3.195140e+01	RYR2;CAMK2D;CAMK2A;CACNA1D;ATP1A2;ADCY2;ADRA1B;ADCY8;ADRA1A;SLC8A1;RPS6KA5;CAMK2G;CACNA2D1;CACNA2D3;ATP2B4;PRKCA;ATP2B1;ATP1B1;CACNB2;PLCB4;PPP2R2B;GNAQ;GNAS;BCL2;PLCB1;CREB5
KEGG_2019_Human	Glycosaminoglycan biosynthesis	14/53	1.589301e-05	1.335013e-04	0	0	4.658868e+00	5.147878e+01	CSGALNACT1;GLCE;XYLT1;HS3ST5;HS6ST3;HS3ST2;EXT1;FUT8;CHST11;NDST4;NDST3;UST;CHSY3;ST3GAL1
KEGG_2019_Human	Pancreatic secretion	20/98	1.869095e-05	1.519393e-04	0	0	3.334777e+00	3.630729e+01	CHRM3;RYR2;PRKCB;ATP2B4;ITPR2;PRKCA;RAB27B;ATP1A2;ADCY2;CCK;ATP2B1;ATP1B1;ADCY8;SLC4A4;PLCB4;CA2;GNAQ;KCNMA1;GNAS;PLCB1
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	19/91	2.139450e-05	1.684817e-04	0	0	3.430741e+00	3.688862e+01	RYR2;LAMA2;CACNA2D1;ITGA1;CACNA2D3;ADCY2;CACNA1D;IGF1;ADCY8;SLC8A1;CACNB2;SGCD;ITGA11;ITGA8;GNAS;ITGB8;ITGA7;DMD;ITGA9
KEGG_2019_Human	PI3K-Akt signaling pathway	47/354	3.578202e-05	2.732445e-04	0	0	2.004505e+00	2.052225e+01	CHRM2;CSF1R;PHLPP1;LAMA2;FLT3;LPAR1;EFNA5;EGFR;GHR;RELN;GNG2;GNG4;ERBB4;PDGFD;PDGFC;SPP1;TNR;ITGB8;MAGI1;PDGFRA;NTRK2;MAP2K1;SYK;ANGPT1;MAGI2;ITGA1;PRKCA;LAMB1;IGF1;PTK2;COL4A2;LPAR6;PPP2R2B;KIT;ITGA11;COL9A1;GNB4;BCL2;ITGA8;COL4A5;ITGA7;SGK1;FGFR3;FGFR2;FGFR1;CREB5;ITGA9
KEGG_2019_Human	ECM-receptor interaction	17/82	6.285540e-05	4.658695e-04	0	0	3.396694e+00	3.286191e+01	LAMA2;ITGA1;LAMB1;RELN;SV2C;COL4A2;SV2B;ITGA11;ITGA8;SPP1;COL9A1;TNR;ITGB8;ITGA7;COL4A5;CD36;ITGA9
KEGG_2019_Human	Choline metabolism in cancer	19/99	7.277529e-05	5.239821e-04	0	0	3.086331e+00	2.940697e+01	DGKG;SLC44A5;PDGFRA;SLC22A3;MAP2K1;DGKD;SLC44A1;DGKB;PRKCB;PRKCA;PLD1;EGFR;MAPK10;PDGFD;PDGFC;PIP5K1B;WASF1;DGKI;DGKH
KEGG_2019_Human	Focal adhesion	30/199	9.425802e-05	6.598062e-04	0	0	2.313605e+00	2.144591e+01	LAMA2;ROCK2;EGFR;MYLK;RELN;PDGFD;PDGFC;SPP1;TNR;ITGB8;VAV3;PDGFRA;MAP2K1;PRKCB;ACTN1;ITGA1;PRKCA;LAMB1;IGF1;PTK2;MAPK10;COL4A2;ITGA11;COL9A1;BCL2;ITGA8;COL4A5;ITGA7;DOCK1;ITGA9
KEGG_2019_Human	GnRH signaling pathway	18/93	9.962125e-05	6.688296e-04	0	0	3.117470e+00	2.872479e+01	MAP2K1;CAMK2D;PRKCB;CAMK2A;ITPR2;PRKCA;ADCY2;CACNA1D;PLD1;ADCY8;EGFR;MAPK10;PLCB4;GNAQ;GNAS;PTK2B;PLCB1;CAMK2G
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	17/85	1.008553e-04	6.688296e-04	0	0	3.246313e+00	2.987200e+01	RYR2;LAMA2;CACNA2D1;ITGA1;CACNA2D3;PRKAG2;CACNA1D;IGF1;SLC8A1;CACNB2;SGCD;ITGA11;ITGA8;ITGB8;ITGA7;DMD;ITGA9
KEGG_2019_Human	Apelin signaling pathway	23/137	1.179373e-04	7.620566e-04	0	0	2.624372e+00	2.373838e+01	MEF2A;RYR1;RYR2;MAP2K1;MEF2C;SMAD3;PDE3B;ITPR2;PRKAG2;ADCY2;ADCY8;SLC8A1;RYR3;MYLK;PLCB4;GNG2;GNG4;GNAQ;GNB4;SPP1;NOS1;PLCB1;PPARGC1A
KEGG_2019_Human	Adherens junction	15/72	1.576621e-04	9.932715e-04	0	0	3.414409e+00	2.989334e+01	SMAD3;ACTN1;LEF1;PTPRM;LMO7;SORBS1;NLK;EGFR;TGFBR2;PTPRB;PARD3;CTNNA3;CTNNA2;WASF1;FGFR1
KEGG_2019_Human	MAPK signaling pathway	39/295	1.745457e-04	1.072818e-03	0	0	1.988836e+00	1.721004e+01	CSF1R;PTPRR;FLT3;RASGRF2;CACNA1B;CACNA1D;NLK;EFNA5;CACNA1E;RASGRP1;EGFR;PPP3CA;RPS6KA5;ERBB4;RPS6KA2;PDGFD;STMN1;PDGFC;MAP4K4;MAP3K5;PDGFRA;NTRK2;MEF2C;MAP2K1;ANGPT1;PRKCB;CACNA2D1;CACNA2D3;PRKCA;IGF1;TGFBR2;MAPK10;CACNB2;KIT;RAPGEF2;FGFR3;FGFR2;HSPA1A;FGFR1
KEGG_2019_Human	Vascular smooth muscle contraction	22/132	1.830851e-04	1.098511e-03	0	0	2.600282e+00	2.237688e+01	GUCY1A2;MAP2K1;PRKCH;CALCRL;PRKCB;ROCK2;ITPR2;PRKCA;CACNA1D;ADCY2;ADRA1B;ADCY8;ADRA1A;MYLK;PLCB4;GNAQ;KCNMB2;KCNMA1;GNAS;KCNMB4;PLCB1;PRKG1
KEGG_2019_Human	Phosphatidylinositol signaling system	18/99	2.278782e-04	1.335472e-03	0	0	2.885609e+00	2.420074e+01	DGKG;DGKD;DGKB;PRKCB;ITPK1;ITPR2;PRKCA;SYNJ2;INPP4B;PLCB4;PPIP5K2;INPP5D;PIP4K2A;PLCE1;PIP5K1B;PLCB1;DGKI;DGKH
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	18/100	2.594908e-04	1.486175e-03	0	0	2.850265e+00	2.353404e+01	CAMK2D;PRKCH;PRKCB;CAMK2A;ITPR2;HTR2C;PRKCA;ADCY2;IGF1;HTR2A;ADCY8;MAPK10;PLCB4;GNAQ;GNAS;ASIC2;PLCB1;CAMK2G
KEGG_2019_Human	Renin secretion	14/69	3.452665e-04	1.933492e-03	0	0	3.300707e+00	2.631058e+01	GUCY1A2;PDE1C;PDE1A;PDE3B;ITPR2;CACNA1D;PPP3CA;PLCB4;GNAQ;KCNMA1;PDE3A;GNAS;PRKG2;PLCB1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	11/48	4.930255e-04	2.700923e-03	0	0	3.850728e+00	2.932310e+01	DNM3;PLCB4;PRKCB;GNAQ;GNAS;ATP1A2;PRKCA;ATP2B1;ATP1B1;PLCB1;SLC8A1
KEGG_2019_Human	Ras signaling pathway	31/232	6.431020e-04	3.448121e-03	0	0	2.008038e+00	1.475749e+01	CSF1R;FLT3;RASGRF2;RASAL2;EFNA5;PLD1;RASGRP1;EGFR;GRIN2A;GNG2;GNG4;PDGFD;PDGFC;PLCE1;PDGFRA;NTRK2;MAP2K1;ANGPT1;PRKCB;GAB1;PRKCA;IGF1;GRIN2B;MAPK10;TIAM1;KIT;GNB4;RAPGEF5;FGFR3;FGFR2;FGFR1
KEGG_2019_Human	Regulation of actin cytoskeleton	29/214	7.534738e-04	3.955738e-03	0	0	2.039836e+00	1.466809e+01	CHRM2;CHRM3;ROCK2;LPAR1;EGFR;MYLK;PDGFD;TMSB4X;PDGFC;PIP4K2A;ITGB8;PIP5K1B;WASF1;VAV3;PDGFRA;MAP2K1;ACTN1;ITGA1;PTK2;TIAM1;DIAPH2;ITGA11;ITGA8;ITGA7;FGFR3;DOCK1;FGFR2;FGFR1;ITGA9
KEGG_2019_Human	Relaxin signaling pathway	20/130	1.007967e-03	5.183832e-03	0	0	2.360566e+00	1.628748e+01	MAP2K1;SMAD3;PRKCA;ADCY2;ADCY8;RXFP1;EGFR;TGFBR2;GNAO1;MAPK10;PLCB4;GNG2;COL4A2;GNG4;GNAS;GNB4;COL4A5;NOS1;PLCB1;CREB5
KEGG_2019_Human	Protein digestion and absorption	15/90	1.846554e-03	9.306632e-03	0	0	2.592426e+00	1.631786e+01	COL15A1;COL24A1;COL11A1;COL22A1;COL12A1;ATP1A2;ATP1B1;SLC8A1;DPP4;COL4A2;COL5A3;COL5A2;COL9A1;COL4A5;COL21A1
KEGG_2019_Human	Cortisol synthesis and secretion	12/65	2.116397e-03	1.045749e-02	0	0	2.932147e+00	1.805628e+01	PLCB4;GNAQ;GNAS;ITPR2;ADCY2;CACNA1D;PDE8B;PLCB1;ADCY8;PDE8A;KCNK2;CREB5
KEGG_2019_Human	Purine metabolism	19/129	2.234191e-03	1.062653e-02	0	0	2.240960e+00	1.367854e+01	GUCY1A2;ENTPD1;ENTPD3;PDE1C;PDE1A;PDE4D;PDE3B;ADK;ADCY2;AK5;ADCY8;FHIT;PAPSS2;PDE10A;PDE3A;PDE4B;PDE8B;PDE8A;PDE9A
KEGG_2019_Human	Thyroid hormone synthesis	13/74	2.241167e-03	1.062653e-02	0	0	2.760642e+00	1.684201e+01	PRKCB;ITPR2;PRKCA;ATP1A2;ADCY2;ATP1B1;ADCY8;PLCB4;GNAQ;GNAS;PLCB1;SLC26A4;CREB5
KEGG_2019_Human	Melanogenesis	16/101	2.277114e-03	1.062653e-02	0	0	2.440322e+00	1.484898e+01	MAP2K1;CAMK2D;PRKCB;LEF1;CAMK2A;MITF;PRKCA;ADCY2;ADCY8;GNAO1;PLCB4;GNAQ;KIT;GNAS;PLCB1;CAMK2G
KEGG_2019_Human	Platelet activation	18/124	3.376657e-03	1.547123e-02	0	0	2.202058e+00	1.253162e+01	LYN;P2RY12;GUCY1A2;SYK;ROCK2;ITPR2;ADCY2;ADCY8;RASGRP1;MYLK;APBB1IP;PLCB4;GNAQ;TBXAS1;GNAS;PRKG2;PLCB1;PRKG1
KEGG_2019_Human	Transcriptional misregulation in cancer	24/186	3.925490e-03	1.766471e-02	0	0	1.923417e+00	1.065624e+01	CSF1R;MEF2C;BCL11B;FLT3;MITF;ETV1;IGF1;RUNX2;FLI1;PTK2;SUPT3H;RUNX1;ETV6;TGFBR2;FUT8;MAF;NR4A3;ZEB1;BMP2K;ERG;UTY;CDK14;GRIA3;RUNX1T1
KEGG_2019_Human	Central carbon metabolism in cancer	11/65	6.355084e-03	2.809616e-02	0	0	2.636040e+00	1.333441e+01	PDGFRA;MAP2K1;FLT3;NTRK3;KIT;FGFR3;EGFR;FGFR2;PFKP;GLS;FGFR1
KEGG_2019_Human	Cushing syndrome	20/155	7.992068e-03	3.472416e-02	0	0	1.920817e+00	9.276214e+00	MAP2K1;CAMK2D;LEF1;CAMK2A;ITPR2;CACNA1D;ADCY2;AHR;ADCY8;EGFR;PLCB4;GNAQ;GNAS;CRH;PDE8B;PLCB1;PDE8A;CAMK2G;KCNK2;CREB5
KEGG_2019_Human	Thyroid hormone signaling pathway	16/116	9.006104e-03	3.846675e-02	0	0	2.072589e+00	9.761591e+00	NCOA2;MAP2K1;THRB;PRKCB;PRKCA;ATP1A2;ATP1B1;MED27;MED12L;MED13L;SLCO1C1;KAT2B;PLCB4;PLCE1;PLCB1;PFKP
KEGG_2019_Human	Estrogen signaling pathway	18/137	9.580563e-03	4.023837e-02	0	0	1.960115e+00	9.110652e+00	NCOA2;GABBR2;MAP2K1;ITPR2;ADCY2;ADCY8;GRM1;EGFR;GNAO1;PLCB4;GNAQ;GNAS;BCL2;PLCB1;FKBP5;CREB5;KCNJ3;HSPA1A
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	9/51	9.903817e-03	4.091413e-02	0	0	2.770900e+00	1.278725e+01	GRIA1;PPP3CA;GRIA2;GRIN2A;SLC1A2;BCL2;NOS1;GRIN2B;MAP3K5
KEGG_2019_Human	Aldosterone-regulated sodium reabsorption	7/37	1.514188e-02	6.154441e-02	0	0	3.014947e+00	1.263350e+01	PRKCB;ATP1A2;PRKCA;IGF1;ATP1B1;SGK1;NR3C2
KEGG_2019_Human	Glucagon signaling pathway	14/103	1.576671e-02	6.306683e-02	0	0	2.036015e+00	8.449166e+00	CAMK2D;PDE3B;CAMK2A;ITPR2;PRKAG2;ADCY2;PPP3CA;PLCB4;GNAQ;GNAS;PLCB1;PPARGC1A;CAMK2G;CREB5
KEGG_2019_Human	ErbB signaling pathway	12/85	1.847571e-02	7.274811e-02	0	0	2.126518e+00	8.487569e+00	MAPK10;MAP2K1;CAMK2D;PRKCB;ERBB4;CAMK2A;GAB1;NRG1;PRKCA;CAMK2G;EGFR;PTK2
KEGG_2019_Human	Wnt signaling pathway	19/158	1.923173e-02	7.455994e-02	0	0	1.770634e+00	6.996118e+00	CAMK2D;SMAD3;PRKCB;ROCK2;LEF1;CAMK2A;PRKCA;PRICKLE1;NLK;MAPK10;PPP3CA;SFRP1;PLCB4;ZNRF3;DAAM2;WIF1;ROR1;PLCB1;CAMK2G
KEGG_2019_Human	Amoebiasis	13/96	2.009546e-02	7.649084e-02	0	0	2.026493e+00	7.918036e+00	LAMA2;PRKCB;ACTN1;PRKCA;LAMB1;PTK2;PLCB4;GNAL;COL4A2;GNAQ;GNAS;COL4A5;PLCB1
KEGG_2019_Human	Human cytomegalovirus infection	25/225	2.047203e-02	7.649084e-02	0	0	1.620674e+00	6.302309e+00	ROCK2;ITPR2;ADCY2;ADCY8;EGFR;PPP3CA;AKAP13;GNG2;GNG4;PTK2B;B2M;PDGFRA;MAP2K1;PRKCB;HLA-B;PRKCA;PTK2;HLA-E;GNAO1;PLCB4;GNAQ;GNAS;GNB4;PLCB1;CREB5
KEGG_2019_Human	Tight junction	20/170	2.064039e-02	7.649084e-02	0	0	1.727328e+00	6.702907e+00	MAGI1;ROCK2;ACTN1;PRKAG2;CACNA1D;RUNX1;CLDN11;MAPK10;TIAM1;ACTR3C;DLG1;TUBA1B;DLG2;PPP2R2B;PARD3;RAPGEF2;MPDZ;CGNL1;JAM2;MAP3K5
